ticker,name,industry,market_cap,market_cap_num,symbol_url
CZNC,Citizens & Northern Corporation,Banks - Regional,300.37M,300370000,/stocks/cznc/
CZR,"Caesars Entertainment, Inc.",Resorts & Casinos,4.10B,4099999999,/stocks/czr/
CZWI,"Citizens Community Bancorp, Inc.",Banks - Regional,154.26M,154260000,/stocks/czwi/
D,"Dominion Energy, Inc.",Utilities - Regulated Electric,50.12B,50120000000,/stocks/d/
DAAQ,Digital Asset Acquisition Corp.,Shell Companies,237.59M,237590000,/stocks/daaq/
DAC,Danaos Corporation,Marine Shipping,1.67B,1670000000,/stocks/dac/
DAIC,"CID HoldCo, Inc.",Information Technology Services,72.13M,72130000,/stocks/daic/
DAIO,Data I/O Corporation,Electronic Components,28.44M,28440000,/stocks/daio/
DAKT,"Daktronics, Inc.",Electronic Components,911.88M,911880000,/stocks/dakt/
DAL,"Delta Air Lines, Inc.",Airlines,37.22B,37220000000,/stocks/dal/
DAN,Dana Incorporated,Auto Parts,2.37B,2370000000,/stocks/dan/
DAO,"Youdao, Inc.",Education & Training Services,1.25B,1250000000,/stocks/dao/
DAR,Darling Ingredients Inc.,Packaged Foods,5.07B,5070000000,/stocks/dar/
DARE,"Daré Bioscience, Inc.",Biotechnology,25.83M,25830000,/stocks/dare/
DASH,"DoorDash, Inc.",Internet Retail,108.67B,108670000000,/stocks/dash/
